OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1176,2020-006AY,2025-10-31T04:11:06.597888,16.20031871,.00082597,53.0375,36.5153,357.5848,2.5149,0,U,45090,999,31850,.93389368E-3,.1869844E-1,.11833769E-4
STARLINK-1142,2020-006BB,2025-10-31T08:00:03.000384,15.61407949,.00041781,53.0348,40.6576,344.9484,27.4354,0,U,45093,999,593,.18786503E-2,.166158E-2,0
STARLINK-1152,2020-006BE,2025-10-31T03:11:33.558720,15.23861893,.00069954,53.0528,90.4804,164.1807,195.9410,0,U,45096,999,31774,.63034105E-3,.15105E-3,0
STARLINK-1184,2020-006BG,2025-10-30T20:57:30.299904,15.06397451,.00014589,53.0527,109.3869,93.8016,266.3140,0,U,45098,999,31745,-.14481052E-4,-.497E-5,0
STARLINK-1193,2020-006BJ,2025-10-29T20:59:05.692416,15.06402226,.0001351,53.0537,113.8689,89.0892,271.0252,0,U,45100,999,31730,.79843707E-4,.908E-5,0
STARLINK-1143,2020-012B,2025-10-31T03:04:33.427488,15.40642561,.00087547,53.0531,232.0240,54.0991,306.0824,0,U,45179,999,31582,.20882899E-2,.87087E-3,0
STARLINK-1202,2020-012F,2025-10-31T03:09:01.877472,15.06409376,.00014945,53.0549,268.2298,96.8767,263.2392,0,U,45183,999,31531,.91777125E-4,.1086E-4,0
STARLINK-1216,2020-012H,2025-10-31T04:33:57.204288,15.06402202,.00013343,53.0550,267.9639,95.8011,264.3130,0,U,45185,999,31526,-.80442971E-4,-.1479E-4,0
STARLINK-1225,2020-012K,2025-10-31T03:24:57.621312,15.06405972,.00011628,53.0533,268.1776,89.3752,270.7370,0,U,45187,999,31530,.20263584E-3,.2739E-4,0
STARLINK-1230,2020-012M,2025-10-31T03:30:15.721920,15.06413993,.00015821,53.0555,268.1659,95.6723,264.4447,0,U,45189,999,31253,.26104654E-3,.361E-4,0
STARLINK-1234,2020-012N,2025-10-31T00:33:17.325216,15.35923512,.000257,53.0527,225.8173,99.7054,260.4238,0,U,45190,999,31579,.21125416E-2,.75313E-3,0
STARLINK-1269,2020-012V,2025-10-31T05:21:43.964928,15.06402742,.00014448,53.0539,267.8186,84.9853,275.1301,0,U,45197,999,31529,.13374603E-3,.1711E-4,0
STARLINK-1154,2020-012W,2025-10-31T01:57:22.434624,15.06414553,.00013562,53.0537,248.4521,100.1188,259.9954,0,U,45198,999,31552,.21674082E-3,.295E-4,0
STARLINK-1199,2020-012Z,2025-10-31T03:48:50.624928,15.06402861,.00013671,53.0537,248.1062,78.7430,281.3712,0,U,45201,999,31559,.79489185E-3,.11579E-3,0
STARLINK-1209,2020-012AE,2025-10-31T06:37:38.639424,15.30172394,.00018267,53.0531,225.2205,97.1437,262.9770,0,U,45206,999,31497,.13441702E-3,.362E-4,0
STARLINK-1210,2020-012AF,2025-10-30T22:13:02.767008,15.56232391,.00128559,53.0239,189.1928,64.9576,295.2768,0,U,45207,999,31640,.15549869E-2,.112538E-2,0
STARLINK-1231,2020-012AL,2025-10-31T02:37:52.899456,15.12303617,.00063901,53.0499,246.6804,45.4114,314.7399,0,U,45212,999,31556,.27738648E-2,.48637E-3,0
STARLINK-1271,2020-012AR,2025-10-31T01:52:04.886976,15.06412358,.00019011,53.0549,248.4666,96.2719,263.8486,0,U,45217,999,31558,-.59436927E-4,-.1167E-4,0
STARLINK-1191,2020-012AW,2025-10-31T00:29:48.213888,15.06428695,.00013999,53.0534,228.7256,102.8721,257.2424,0,U,45222,999,31585,.10093141E-2,.14796E-3,0
STARLINK-1212,2020-012AX,2025-10-31T02:32:00.227616,15.06411276,.00014466,53.0546,228.9987,99.6706,260.4447,0,U,45223,999,31586,.53849136E-3,.7751E-4,0
STARLINK-1215,2020-012AZ,2025-10-31T01:28:11.753760,15.06422070,.00016247,53.0538,228.5431,80.0492,280.0680,0,U,45225,999,31581,.13356248E-2,.1968E-3,0
STARLINK-1221,2020-012BB,2025-10-30T22:18:28.393920,15.36706604,.00021964,53.0677,162.0851,353.6341,6.4633,0,U,45227,999,31672,.51869304E-3,.1853E-3,0
STARLINK-1222,2020-012BC,2025-10-31T02:15:57.035232,15.06420431,.0001452,53.0539,228.3935,109.5887,250.5259,0,U,45228,999,31575,.35633855E-3,.5033E-4,0
STARLINK-1226,2020-012BD,2025-10-31T01:22:53.461344,15.06416766,.00015623,53.0531,228.5600,72.5232,287.5928,0,U,45229,999,31575,.10483262E-2,.15375E-3,0
STARLINK-1227,2020-012BE,2025-10-31T02:53:07.763136,15.06443503,.00014924,53.0539,228.2791,76.7166,283.3990,0,U,45230,999,31588,.13552495E-2,.19986E-3,0
STARLINK-1246,2020-012BK,2025-10-31T03:14:21.231744,15.06411614,.00014998,53.0541,268.2101,84.1220,275.9940,0,U,45235,999,31533,.35461032E-3,.5006E-4,0
STARLINK-1270,2020-012BM,2025-10-31T01:44:07.190016,15.06429651,.00014351,53.0534,228.4931,90.8893,269.2261,0,U,45237,999,31586,.14505461E-2,.21408E-3,0
STARLINK-1279,2020-019A,2025-10-31T06:09:05.857920,15.33873556,.00018781,53.0532,355.1408,26.0495,334.0600,0,U,45360,999,31066,.21009253E-2,.70095E-3,0
STARLINK-1301,2020-019B,2025-10-31T06:50:19.283424,15.36335416,.00018184,53.0528,4.7395,30.0481,330.0625,0,U,45361,999,31054,.18446493E-2,.66512E-3,0
STARLINK-1306,2020-019C,2025-10-31T08:00:03.000384,15.69111312,.00065305,53.0471,354.7196,301.6777,59.0027,0,U,45362,999,590,.69066431E-3,.81941E-3,0
STARLINK-1262,2020-019G,2025-10-30T12:27:57.055968,15.06392013,.00014865,53.0576,30.9712,101.7399,258.3757,0,U,45366,999,31011,-.83245109E-4,-.1521E-4,0
STARLINK-1273,2020-019H,2025-10-30T11:24:16.449696,15.06384113,.00014893,53.0555,31.1722,100.2608,259.8549,0,U,45367,999,31010,-.4237695E-4,-.912E-5,0
STARLINK-1276,2020-019J,2025-10-30T15:28:25.273344,15.06391923,.00015487,53.0551,30.4123,89.6219,270.4947,0,U,45368,999,31013,-.3182118E-4,-.755E-5,0
STARLINK-1277,2020-019K,2025-10-30T12:06:50.171040,15.06381821,.00012383,53.0559,31.6691,101.7111,258.4017,0,U,45369,999,31010,-.9447239E-4,-.1687E-4,0
STARLINK-1281,2020-019L,2025-10-30T15:12:30.598272,15.06384753,.00017468,53.0581,30.4576,72.7627,287.3553,0,U,45370,999,31013,.16627948E-3,.2195E-4,0
STARLINK-1300,2020-019Q,2025-10-30T12:33:17.263008,15.06396870,.0001633,53.0545,30.9569,88.5498,271.5678,0,U,45374,999,31011,.51944936E-3,.7463E-4,0
STARLINK-1302,2020-019R,2025-10-30T11:18:57.180960,15.06394494,.00013929,53.0555,31.1907,92.5229,267.5919,0,U,45375,999,31010,-.58227142E-4,-.1148E-4,0
STARLINK-1304,2020-019S,2025-10-30T14:56:34.376640,15.06393861,.00014914,53.0549,30.5104,88.1819,271.9341,0,U,45376,999,31012,.11905663E-3,.1492E-4,0
STARLINK-1305,2020-019T,2025-10-30T12:19:03.819360,15.31240349,.00013511,53.0543,28.8716,60.6992,299.4143,0,U,45377,999,31014,.31756942E-3,.9364E-4,0
STARLINK-1319,2020-019V,2025-10-31T08:00:03.000384,15.19743412,.00016145,53.0541,27.0057,69.8158,250.5111,0,U,45379,999,575,.83392208E-1,.2004546E-1,0
STARLINK-1266,2020-019Z,2025-10-30T13:50:13.695360,15.06393740,.00013453,53.0546,10.7220,99.6048,260.5093,0,U,45383,999,31039,.23025832E-3,.3149E-4,0
STARLINK-1267,2020-019AA,2025-10-30T10:18:01.755072,15.06390589,.00014673,53.0559,12.0388,98.8021,261.3134,0,U,45384,999,31036,-.58041978E-4,-.1146E-4,0
STARLINK-1272,2020-019AC,2025-10-31T07:10:51.546144,15.33464142,.00017228,53.0552,5.3764,41.1272,318.9859,0,U,45386,999,31053,.20760936E-2,.68352E-3,0
STARLINK-1274,2020-019AD,2025-10-30T13:02:17.621664,15.28786081,.00032023,53.0389,356.2760,246.8421,113.2240,0,U,45387,999,31059,.55728668E-3,.15483E-3,0
STARLINK-1280,2020-019AE,2025-10-31T00:00:02.000160,15.38994580,.00016366,53.0545,26.2946,29.5229,55.0421,0,U,45388,999,575,.25250348E-2,.99866E-3,0
STARLINK-1283,2020-019AF,2025-10-30T13:12:39.604032,15.29990009,.00027523,53.0545,7.4491,24.3798,335.7331,0,U,45389,999,31044,.17572452E-2,.51716E-3,0
STARLINK-1284,2020-019AG,2025-10-30T13:55:32.084544,15.06388858,.00014331,53.0550,10.7047,101.7110,258.4040,0,U,45390,999,31039,.32134919E-3,.4507E-4,0
STARLINK-1292,2020-019AL,2025-10-31T08:00:03.000384,15.94681222,.00079498,53.0439,317.5563,22.8598,332.1240,0,U,45394,999,601,.11187123E-2,.435887E-2,.86814438E-4
STARLINK-1297,2020-019AM,2025-10-30T11:37:31.719360,15.06400961,.00013494,53.0549,11.1331,86.3550,273.7593,0,U,45395,999,30956,.27179791E-3,.3769E-4,0
